gate,net_ID,CC0,CC1,CO,is_trojan
g0,221,2,2,0,0
g1,222,2,2,0,0
g10,2582,32,6,38,0
g100,2653,2,2,242,0
g1000,1744,4,17,8,0
g1001,1743,4,15,14,0
g1002,1742,4,17,14,0
g1003,1741,4,17,14,0
g1004,1740,4,17,14,0
g1005,1739,4,17,43,0
g1006,1738,4,17,14,0
g1007,1737,6,8,254,0
g1008,1736,6,8,254,0
g1009,1735,5,8,255,0
g101,2654,2,2,242,0
g1010,1734,13,7,43,0
g1011,1733,5,8,255,0
g1012,1732,56,81,104,0
g1013,1731,5,5,255,0
g1014,1730,6,8,254,0
g1015,1729,6,8,136,0
g1016,1728,7,8,135,0
g1017,1727,5,8,137,0
g1018,1726,6,8,136,0
g1019,1725,5,8,255,0
g102,2703,2,2,242,0
g1020,1724,6,8,254,0
g1021,1723,7,8,253,0
g1022,1722,7,8,253,0
g1023,1721,6,8,254,0
g1024,1720,6,8,254,0
g1025,1719,6,8,254,0
g1026,1718,7,8,253,0
g1027,1717,5,8,255,0
g1028,1716,6,8,254,0
g1029,1715,5,8,255,0
g103,2656,2,2,242,0
g1030,1714,6,8,254,0
g1031,1713,7,8,253,0
g1032,1712,6,8,254,0
g1033,1711,6,8,254,0
g1034,1710,6,8,254,0
g1035,1709,7,8,253,0
g1036,1708,6,8,254,0
g1037,1707,6,8,254,0
g1038,1706,7,8,253,0
g1039,1705,6,8,254,0
g104,2657,2,2,242,0
g1040,1704,5,8,255,0
g1041,1703,5,5,255,0
g1042,1702,7,7,253,0
g1043,1701,7,7,135,0
g1044,1700,7,7,135,0
g1045,1699,7,7,253,0
g1046,1698,7,7,135,0
g1047,1697,7,7,253,0
g1048,1696,7,7,135,0
g1049,1695,11,11,65,0
g105,2658,2,2,242,0
g1050,1694,11,11,65,0
g1051,1693,11,11,71,0
g1052,1692,7,7,64,0
g1053,1691,7,7,67,0
g1054,1690,7,7,67,0
g1055,1841,6,6,1,0
g1056,1689,11,11,71,0
g1057,1688,11,11,71,0
g1058,1687,7,7,48,0
g1059,1686,11,11,69,0
g106,2659,2,2,242,0
g1060,1685,7,7,51,0
g1061,1684,7,7,46,0
g1062,1683,7,7,46,0
g1063,1682,7,7,64,0
g1064,1681,5,5,67,0
g1065,1680,11,11,71,0
g1066,1679,11,11,69,0
