gate,net_ID,CC0,CC1,CO,is_trojan
g0,2920,2,2,235,0
g1,260,3,664,0,0
g10,269,3,665,0,0
g100,163,3,226,0,0
g1000,2182,7,221,18,0
g1001,2181,7,221,18,0
g1002,2180,7,221,16,0
g1003,2179,7,221,16,0
g1004,2178,7,221,16,0
g1005,2177,7,221,16,0
g1006,2176,7,221,16,0
g1007,2175,7,221,16,0
g1008,2174,7,221,16,0
g1009,2173,7,221,16,0
g101,164,3,226,0,0
g1010,2172,7,221,16,0
g1011,2171,7,221,16,0
g1012,2170,7,221,16,0
g1013,2169,7,221,16,0
g1014,2168,7,221,16,0
g1015,2167,7,221,16,0
g1016,2166,7,221,16,0
g1017,2165,7,221,16,0
g1018,2164,7,221,16,0
g1019,2163,7,221,16,0
g102,165,3,226,0,0
g1020,2162,7,221,16,0
g1021,2161,7,221,16,0
g1022,2160,7,221,16,0
g1023,2159,7,221,16,0
g1024,2158,7,221,16,0
g1025,2157,7,221,16,0
g1026,2156,7,221,16,0
g1027,2155,7,221,16,0
g1028,2154,7,221,16,0
g1029,2153,7,221,16,0
g103,166,3,226,0,0
g1030,2152,7,221,16,0
g1031,2151,7,221,16,0
g1032,2150,6,867,17,0
g1033,2149,6,867,17,0
g1034,2148,6,867,17,0
g1035,2147,6,867,17,0
g1036,2146,6,867,17,0
g1037,2145,6,867,17,0
g1038,2144,8,868,17,0
g1039,2143,6,867,17,0
g104,167,3,226,0,0
g1040,2142,6,867,17,0
g1041,2141,6,867,17,0
g1042,2140,6,867,17,0
g1043,2139,6,867,17,0
g1044,2138,6,867,17,0
g1045,2137,6,867,17,0
g1046,2136,6,867,17,0
g1047,2135,6,867,17,0
g1048,2134,6,867,17,0
g1049,2133,6,867,17,0
g105,168,3,226,0,0
g1050,2132,6,867,17,0
g1051,2131,6,867,17,0
g1052,2130,6,867,17,0
g1053,2129,6,867,17,0
g1054,2128,6,867,17,0
g1055,2127,6,867,17,0
g1056,2126,6,867,17,0
g1057,2125,6,867,17,0
g1058,2124,8,868,17,0
g1059,2123,6,867,17,0
g106,169,3,226,0,0
g1060,2122,6,867,17,0
g1061,2121,6,867,17,0
g1062,2120,6,867,17,0
g1063,2119,6,867,17,0
g1064,2118,6,867,17,0
g1065,2117,6,867,17,0
g1066,2116,6,867,17,0
g1067,2115,6,867,17,0
g1068,2114,6,867,17,0
g1069,2113,6,867,17,0
g107,170,3,226,0,0
g1070,2112,6,867,17,0
g1071,2111,8,868,17,0
g1072,2110,6,867,17,0
g1073,2109,6,867,17,0
g1074,2108,8,868,17,0
g1075,2107,6,867,17,0
g1076,2106,6,867,17,0
g1077,2105,6,867,17,0
g1078,2104,6,867,17,0
g1079,2103,6,867,17,0
g108,171,3,226,0,0
g1080,2102,6,867,17,0
g1081,2101,6,867,17,0
g1082,2100,6,867,17,0
g1083,2099,6,867,17,0
g1084,2098,6,867,17,0
g1085,2097,6,867,17,0
g1086,2096,6,867,17,0
g1087,2095,6,867,17,0
g1088,2094,6,867,17,0
g1089,2093,6,867,17,0
g109,172,3,226,0,0
g1090,2092,6,867,17,0
g1091,2091,6,867,17,0
g1092,2090,6,867,17,0
