gate,net_ID,CC0,CC1,CO,is_trojan
g0,276,2,2,0,0
g1,277,2,2,0,0
g10,286,2,2,0,0
g100,168,3,139460589,0,0
g1000,970,73117515372855,11,77,0
g1001,969,544689,11,79,0
g1002,968,36558757686389,11,77,0
g1003,967,68017,11,79,0
g1004,966,41,36,79,0
g1005,965,28,24,88,0
g1006,964,46,38,81,0
g1007,963,136,74,79,0
g1008,962,278921107,11,79,0
g1009,961,231,112,81,0
g101,169,3,278921183,0,0
g1010,960,22,29,79,0
g1011,959,32,25,86,0
g1012,958,181,92,79,0
g1013,957,22,15,88,0
g1014,956,2178993,11,79,0
g1015,955,186,94,79,0
g1016,954,28,35,88,0
g1017,953,28,35,88,0
g1018,952,33,25,88,0
g1019,951,272305,11,79,0
g102,170,3,557842369,0,0
g1020,950,33,25,86,0
g1021,949,33,25,88,0
g1022,948,96,58,81,0
g1023,947,4177,11,79,0
g1024,946,171,88,81,0
g1025,945,453,11,79,0
g1026,944,4462738897,11,79,0
g1027,943,28,35,86,0
g1028,942,557842293,11,79,0
g1029,941,141,76,81,0
g103,171,3,1115684741,0,0
g1030,940,8433,11,79,0
g1031,939,2231369409,11,79,0
g1032,938,126,70,81,0
g1033,937,31,32,81,0
g1034,936,8925477873,11,77,0
g1035,935,71,48,81,0
g1036,934,12,8,87,0
g1037,933,121,68,81,0
g1038,932,81,52,81,0
g1039,931,1169880245966843,11,77,0
g104,172,3,2231369485,0,0
g1040,930,17432497,11,77,0
g1041,929,9359041967735289,11,77,0
g1042,928,236,114,79,0
g1043,927,4569844710731,11,77,0
g1044,926,1142461177625,11,77,0
g1045,925,28,32,88,0
g1046,924,156,82,79,0
g1047,923,66,46,81,0
g1048,922,28,35,86,0
g1049,921,139460515,11,77,0
g105,173,3,4462738973,0,0
g1050,920,33,25,88,0
g1051,919,33,25,86,0
g1052,918,28,35,86,0
g1053,917,28,35,88,0
g1054,916,191,96,79,0
g1055,915,28,35,88,0
g1056,914,35701911725,11,79,0
g1057,913,28,35,88,0
g1058,912,4358065,11,79,0
g1059,911,256,122,79,0
g106,174,3,8925477947,0,0
g1060,910,1115684665,11,79,0
g1061,909,31,23,88,0
g1062,908,32,25,88,0
g1063,907,142807647135,11,77,0
g1064,906,246,118,79,0
g1065,905,15,9,85,0
g1066,904,16945,11,79,0
g1067,903,151,80,79,0
g1068,902,196,98,81,0
g1069,901,251,120,81,0
g107,175,3,17850955899,0,0
g1070,900,86,54,79,0
g1071,899,9139689421539,11,77,0
g1072,898,201,100,81,0
g1073,897,33,25,88,0
g1074,896,187,11,79,0
g1075,895,33,25,88,0
g1076,894,26,30,79,0
g1077,893,36,34,81,0
g1078,892,146,78,81,0
g1079,891,18718083935470652,10,77,0
g108,176,3,35701911801,0,0
g1080,890,33,25,88,0
g1081,889,18279378843155,11,79,0
g1082,888,101,60,81,0
g1083,887,206,102,81,0
g1084,886,985,11,79,0
g1085,885,241,116,79,0
g1086,884,2049,11,79,0
g1087,883,4679520983867605,11,79,0
g1088,882,292470061491653,11,77,0
g1089,881,221,108,81,0
g109,177,3,71403823603,0,0
g1090,880,176,90,81,0
g1091,879,216,106,81,0
g1092,878,211,104,81,0
g1093,877,23,15,88,0
g1094,876,33,25,88,0
g1095,875,146235030745787,11,79,0
g1096,874,27,34,86,0
g1097,873,111,64,81,0
g1098,872,91,56,79,0
g1099,871,34865071,11,77,0
g11,287,2,2,0,0
g110,178,3,142807647209,0,0
g1100,870,69730219,11,77,0
g1101,869,28,35,88,0
g1102,868,33,25,88,0
g1103,867,116,66,79,0
g1104,866,33969,11,79,0
g1105,865,226,110,81,0
g1106,864,71403823529,11,77,0
g1107,863,285615294347,11,79,0
g1108,862,166,86,79,0
g1109,861,76,50,81,0
g111,179,3,285615294423,0,0
g1110,860,53,20,79,0
g1111,859,131,72,81,0
g1112,858,584940122983383,11,77,0
g1113,857,161,84,79,0
g1114,856,2284922355327,11,77,0
g1115,855,28,35,86,0
g1116,854,18279378843232,4,27,0
g1117,853,13,5,31,0
g1118,852,12,5,29,0
g1119,851,13,5,31,0
g112,180,3,571230588849,0,0
g1120,850,13,5,31,0
g1121,849,13,5,29,0
g1122,848,13,5,31,0
g1123,847,8,4,29,0
g1124,846,13,5,31,0
g1125,845,13,5,31,0
g1126,844,12,5,31,0
g1127,843,13,5,31,0
g1128,842,13,5,31,0
g1129,841,13,5,31,0
g113,181,3,1142461177699,0,0
g1130,840,13,5,31,0
g1131,839,13,5,31,0
g1132,838,13,5,29,0
g1133,1901,9,18718083935470651,78,0
g1134,1900,10,9359041967735288,78,0
g1135,646,5,18718083935470647,82,0
g1136,645,9359041967735282,9,84,0
g1137,1899,10,4679520983867604,80,0
g1138,644,9359041967735282,6,9359041967735447,0
g1139,643,5,9359041967735281,88,0
g114,182,3,2284922355401,0,0
g1140,642,4679520983867598,9,86,0
g1141,1898,10,2339760491933762,80,0
g1142,641,4679520983867598,6,4679520983867771,0
g1143,640,5,4679520983867597,90,0
g1144,639,2339760491933756,9,86,0
g1145,1897,10,1169880245966842,78,0
g1146,638,2339760491933756,6,2339760491933931,0
g1147,637,5,2339760491933755,90,0
g1148,636,1169880245966836,9,84,0
g1149,1896,10,584940122983382,78,0
g115,183,3,4569844710805,0,0
g1150,635,1169880245966836,6,1169880245967009,0
g1151,634,5,1169880245966835,88,0
g1152,633,584940122983376,9,84,0
g1153,1895,10,292470061491652,78,0
g1154,632,584940122983376,6,584940122983547,0
g1155,631,5,584940122983375,88,0
g1156,630,292470061491646,9,84,0
g1157,1894,10,146235030745786,80,0
g1158,629,292470061491646,6,292470061491817,0
g1159,628,5,292470061491645,88,0
g116,184,3,9139689421613,0,0
g1160,627,146235030745780,9,86,0
g1161,1893,10,73117515372854,78,0
g1162,626,146235030745780,6,146235030745953,0
g1163,625,5,146235030745779,90,0
g1164,624,73117515372848,9,84,0
g1165,1892,10,36558757686388,78,0
g1166,623,73117515372848,6,73117515373021,0
g1167,622,5,73117515372847,88,0
g1168,621,36558757686382,9,84,0
g1169,1891,10,18279378843154,80,0
g117,185,3,18279378843231,0,0
g1170,620,36558757686382,6,36558757686553,0
g1171,619,5,36558757686381,88,0
g1172,618,18279378843148,9,86,0
g1173,1890,10,9139689421538,78,0
g1174,617,18279378843148,6,18279378843321,0
g1175,616,5,18279378843147,90,0
g1176,615,9139689421532,9,84,0
g1177,1889,10,4569844710730,78,0
g1178,614,9139689421532,6,9139689421705,0
g1179,613,5,9139689421531,88,0
g118,186,3,36558757686463,0,0
g1180,612,4569844710724,9,84,0
g1181,1888,10,2284922355326,78,0
g1182,611,4569844710724,6,4569844710895,0
g1183,610,5,4569844710723,88,0
g1184,609,2284922355320,9,84,0
g1185,1887,10,1142461177624,78,0
g1186,608,2284922355320,6,2284922355491,0
g1187,607,5,2284922355319,88,0
g1188,606,1142461177618,9,84,0
g1189,1886,10,571230588772,80,0
g119,187,3,73117515372929,0,0
g1190,605,1142461177618,6,1142461177789,0
g1191,604,5,1142461177617,88,0
g1192,603,571230588766,9,86,0
g1193,1885,10,285615294346,80,0
g1194,602,571230588766,6,571230588939,0
g1195,601,5,571230588765,90,0
g1196,600,285615294340,9,86,0
g1197,1884,10,142807647134,78,0
g1198,599,285615294340,6,285615294515,0
g1199,598,5,285615294339,90,0
g12,288,2,2,0,0
g120,188,3,146235030745863,0,0
g1200,597,142807647128,9,84,0
g1201,1883,10,71403823528,78,0
g1202,596,142807647128,6,142807647301,0
g1203,595,5,142807647127,88,0
g1204,594,71403823522,9,84,0
g1205,1882,10,35701911724,80,0
g1206,593,71403823522,6,71403823693,0
g1207,592,5,71403823521,88,0
g1208,591,35701911718,9,86,0
g1209,1881,10,17850955822,80,0
g121,189,3,292470061491727,0,0
g1210,590,35701911718,6,35701911891,0
g1211,589,5,35701911717,90,0
g1212,588,17850955816,9,86,0
g1213,1880,10,8925477872,78,0
g1214,587,17850955816,6,17850955991,0
g1215,586,5,17850955815,90,0
g1216,585,8925477866,9,84,0
g1217,1879,10,4462738896,80,0
g1218,584,8925477866,6,8925478039,0
g1219,583,5,8925477865,88,0
g122,190,3,584940122983457,0,0
g1220,582,4462738890,9,86,0
g1221,1878,10,2231369408,80,0
g1222,581,4462738890,6,4462739063,0
g1223,580,5,4462738889,90,0
g1224,579,2231369402,9,86,0
g1225,1877,10,1115684664,80,0
g1226,578,2231369402,6,2231369577,0
g1227,577,5,2231369401,90,0
g1228,576,1115684658,9,86,0
g1229,1876,10,557842292,80,0
g123,191,3,1169880245966917,0,0
g1230,575,1115684658,6,1115684833,0
g1231,574,5,1115684657,90,0
g1232,573,557842286,9,86,0
g1233,1875,10,278921106,80,0
g1234,572,557842286,6,557842461,0
g1235,571,5,557842285,90,0
g1236,570,278921100,9,86,0
g1237,1874,10,139460514,78,0
g1238,569,278921100,6,278921275,0
g1239,568,5,278921099,90,0
g124,192,3,2339760491933839,0,0
g1240,567,139460508,9,84,0
g1241,1873,10,69730218,78,0
g1242,566,139460508,6,139460681,0
g1243,565,5,139460507,88,0
g1244,564,69730212,9,84,0
g1245,1872,10,34865070,78,0
g1246,563,69730212,6,69730383,0
g1247,562,5,69730211,88,0
g1248,561,34865064,9,84,0
g1249,1871,10,17432496,78,0
g125,193,3,4679520983867681,0,0
g1250,560,34865064,6,34865235,0
g1251,559,5,34865063,88,0
g1252,558,17432490,9,84,0
g1253,1870,10,8716208,80,0
g1254,557,17432490,6,17432661,0
g1255,556,5,17432489,88,0
g1256,555,8716202,9,86,0
g1257,1869,10,4358064,80,0
g1258,554,8716202,6,8716375,0
g1259,553,5,8716201,90,0
g126,194,3,9359041967735363,0,0
g1260,552,4358058,9,86,0
g1261,1868,10,2178992,80,0
g1262,551,4358058,6,4358233,0
g1263,550,5,4358057,90,0
g1264,549,2178986,9,86,0
g1265,1867,10,1089456,80,0
g1266,548,2178986,6,2179161,0
g1267,547,5,2178985,90,0
g1268,546,1089450,9,86,0
