gate,net_ID,CC0,CC1,CO,is_trojan
g0,752,18361,7,103,0
g1,551,5,11430,439,0
g10,498,15,16383,55227,0
g100,147,43,49,0,0
g101,819,7,71100,123,0
g102,866,257097,13,1763304,0
g103,717,44,4,9416,0
g104,194,44,50,0,0
g105,855,3,18370,94,0
g106,920,11,18,43,0
g107,1017,9,7,143,1
g108,288,3,18,40,0
g109,764,5,23238,149,0
g11,794,743415,13,141,0
g110,822,4,250,70998,0
g111,185,44,50,0,0
g112,560,5,92742,326,0
g113,786,717,13,8788,0
g114,181,44,50,0,0
g115,912,4,17,50,0
g116,707,51,4,9409,0
g117,942,30,4,9430,0
g118,596,45,6,71203,0
g119,585,4094,4,67154,0
g12,567,371527,6,372037,0
g120,898,6,38,48,0
g121,696,128549,4,1891852,0
g122,651,9,4,58,0
g123,885,4,18379,123,0
g124,507,5806,4,3691,0
g125,381,3,1486845,135,0
g126,132,44,50,0,0
g127,687,548,11,8962,0
g128,569,5,743238,326,0
g129,653,9,4,58,0
g13,310,3,73449,95,0
g130,698,13,4,18470,0
g131,286,3,55099,77,0
g132,464,3,5,113,1
g133,606,493,9,70752,0
g134,967,9,899870,1120536,0
g135,903,7,3,60,0
g136,815,4,8186,63059,0
g137,759,3,5,9455,0
g138,838,3,2973690,138,0
g139,1014,2,8,127,1
g14,162,44,50,0,0
g140,816,4,506,70739,0
g141,807,5,36728,18497,0
g142,702,257104,4,1763297,0
g143,536,178,4,9327,0
g144,634,5,524268,55253,0
g145,198,3,22,9438,0
g146,686,2,2,18500,0
g147,558,46279,6,46789,0
g148,458,3,11,80,1
g149,485,510,4,70735,0
g15,608,1005,6,70243,0
g150,800,25,14,18450,0
g151,537,743422,4,743566,0
g152,515,9,541,8959,0
g153,522,26,9254,225,0
g154,370,3,723,8782,0
g155,528,5806,4,6063,0
g156,1009,2,14,77,1
g157,888,18347,71,56,0
g158,933,13,7,36,0
g159,631,5,262124,55259,0
g16,193,44,50,0,0
g160,731,3,12,43,0
g161,959,10,8179,63066,0
g162,849,3,128542,86,0
g163,848,3,2898,6599,0
g164,976,10,371533,316,0
g165,244,3,21,40,0
g166,563,5,185670,326,0
g167,145,44,50,0,0
g168,821,3,17,77,0
g169,525,1450,4,8055,0
g17,689,128556,9,1891850,0
g170,659,2036,11,69209,0
g171,595,5,44,71204,0
g172,824,4,4090,67155,0
g173,656,9,4,58,0
g174,789,18367,8,97,0
g175,865,6,36810,124,0
g176,452,3,5,64,1
g177,779,1542630,5,477771,0
g178,649,9,4,58,0
g179,472,7,2973694,131,0
g18,236,3,21,40,0
g180,175,44,50,0,0
g181,909,5,73527,105,0
g182,669,1486670,11,315,0
g183,471,178,7,18288,0
g184,901,5,36719,116,0
g185,487,8190,4,63055,0
g186,556,23047,9,322,0
g187,496,4605,5,66640,0
g188,753,8,18362,18418,0
g189,728,5,73454,18497,0
g19,746,7,2894,6608,0
g190,975,10,743245,316,0
g191,680,2973518,11,315,0
g192,529,46462,4,46606,0
g193,501,8333,5,62912,0
g194,299,3,2045,69200,0
g195,583,62,4,71186,0
g196,509,7,46462,244,0
g197,625,5,65516,55259,0
g198,581,126,4,71122,0
g199,632,262125,6,317396,0
g2,383,3,5947386,135,0
g20,1022,5,5,50,1
g200,948,167,6,9293,0
g201,449,3,17,57,1
g202,714,2902,4,6618,0
g203,252,3,21,40,0
g204,736,7,46454,147,0
g205,467,3,5,130,1
g206,1013,2,14,67,1
g207,154,44,50,0,0
g208,593,65534,4,120777,0
g209,532,92926,4,93070,0
g21,562,92743,9,322,0
g210,711,11614,4,270,0
g211,998,5,2,67,1
g212,706,5947387,4,157,0
g213,492,7,16382,55235,0
g214,658,500,11,70745,0
g215,681,32756,11,55248,0
g216,828,4,131066,55242,0
g217,542,5,1266,8239,0
g218,196,3,8,9452,0
