gate,net_ID,CC0,CC1,CO,is_trojan
g0,693,884910,5,294983,0
g1,163,44,50,0,0
g10,811,5,55288,109,0
g100,749,3,93178,135,0
g101,824,118,7,9368,0
g102,508,8190,4,45193,0
g103,821,11,20,32,0
g104,852,9,516200,663698,0
g105,236,3,253,52755,0
g106,734,43,18390,84,0
g107,717,745463,13,138,0
g108,434,8733,5,790,0
g109,886,62,4,111,1
g11,388,11646,4,6861,0
g110,194,44,50,0,0
g111,414,7,13,52998,0
g112,428,179,4,9350,0
g113,655,7,93174,144,0
g114,746,3,745466,135,0
g115,136,44,50,0,0
g116,685,5,2981894,146,0
g117,445,1454,4,8077,0
g118,404,33,18379,102,0
g119,547,65517,9,37015,0
g12,436,15,11647,236,0
g120,475,23111,6,23618,0
g121,835,47,5,9439,0
g122,385,3,27,146,1
g123,842,10,2035,50970,0
g124,858,10,2981709,313,0
g125,850,9,524272,37009,0
g126,671,3,19,9467,0
g127,632,51,4,9435,0
g128,697,172,11,9357,0
g129,170,44,50,0,0
g13,793,3,589935,589958,0
g130,138,44,50,0,0
g131,512,13,4,52995,0
g132,166,44,50,0,0
g133,777,6,18519,121,0
g134,587,745294,11,312,0
g135,154,44,50,0,0
g136,498,5,5963590,317,0
g137,695,5,3,47,0
g138,708,1447,13,8084,0
g139,571,186,9,9348,0
g14,558,73739,7,1106159,0
g140,593,550,11,8986,0
g141,380,3,745469,132,0
g142,157,44,50,0,0
g143,175,44,50,0,0
g144,696,130,7,46,0
g145,813,9282,47,204,0
g146,776,7,147476,1032422,0
g147,800,18401,64,57,0
g148,190,44,50,0,0
g149,471,5,11462,439,0
g15,606,10,4,46,0
g150,386,3,61,112,1
g151,172,44,50,0,0
g152,650,7,718,8818,0
g153,635,18419,5,1161474,0
g154,888,10,4,163,1
g155,280,3,40,40,0
g156,182,44,50,0,0
g157,574,221232,11,958666,0
g158,641,3,130,43,0
g159,895,8,24,149,1
g16,724,73729,6,83,0
g160,389,726,4,17788,0
g161,851,46,9281,205,0
g162,235,3,125,52883,0
g163,812,12,36873,102,0
g164,159,44,50,0,0
g165,876,2,5,171,1
g166,602,32756,11,37008,0
g167,491,745287,9,319,0
g168,771,5,294976,884938,0
g169,718,4,9,43,0
g17,550,131053,9,37015,0
g170,652,7,354,9180,0
g171,354,3,294969,884924,0
g172,613,589939,4,589954,0
g173,881,52,6,121,1
g174,760,3,5963767,135,0
g175,615,13,4,18533,0
g176,637,5,36881,18545,0
g177,786,36884,5,18460,0
g178,844,10,8179,44826,0
g179,232,3,12,40,0
g18,618,93182,4,154,0
g180,484,186183,6,186690,0
g181,643,5,73750,55389,0
g182,453,372734,4,372875,0
g183,560,221225,6,958673,0
g184,782,147477,13,1032416,0
g185,667,3,40,9446,0
g186,894,10,58,115,1
g187,663,18415,7,84,0
g188,135,44,50,0,0
g189,566,2,2,50,0
g19,164,44,50,0,0
g190,199,3,29,9457,0
g191,444,1490942,4,1491083,0
g192,896,6,6,167,1
g193,203,3,57,9429,0
g194,798,18419,5,117,0
g195,384,3,9,164,1
g196,728,4,506,52499,0
g197,502,254,4,52754,0
g198,869,10,1277,8259,0
g199,863,10,93005,313,0
g2,481,92999,6,93506,0
g20,205,3,15,9471,0
g200,140,44,50,0,0
g201,666,7,4,18451,0
g202,152,44,50,0,0
g203,861,10,372557,313,0
g204,371,3,1453,8078,0
g205,720,1106135,6,73758,0
g206,469,5639,6,6262,0
g207,630,745470,4,154,0
g208,855,30,16011,36972,0
g209,366,3,36862,81,0
g21,758,3,358,9171,0
g210,545,5,65516,37019,0
g211,421,8333,5,44672,0
g212,174,44,50,0,0
g213,715,2981879,13,138,0
g214,186,44,50,0,0
g215,504,510,4,52498,0
g216,551,5,262124,37019,0
g217,521,5,236,52772,0
g218,642,8,9454,18519,0
g219,441,22,9279,229,0
g22,736,4,8186,44819,0
g220,575,524273,10,37008,0
g221,691,221224,5,958669,0
g222,578,93006,11,312,0
g223,704,23287,13,138,0
g224,826,15,52,28,0
g225,737,4,16378,37002,0
g226,183,44,50,0,0
g227,841,10,1011,51994,0
g228,346,3,36876,99,0
g229,576,2981710,11,312,0
g23,702,25,14,18513,0
g230,465,5,2726,6805,0
g231,731,4,58,52950,0
g232,779,19,14,61,0
g233,860,10,745293,313,0
g234,497,2981703,9,319,0
g235,392,7,2981886,128,0
g236,645,7,23286,144,0
g237,795,3,17,18533,0
g238,658,7,5963763,144,0
g239,709,9454,11,46,0
g24,553,262125,9,37015,0
g240,703,46583,13,138,0
g241,364,3,9,40,0
g242,180,44,50,0,0
g243,644,7,186358,144,0
g244,423,6,16009,36996,0
g245,429,7,46590,244,0
g246,383,3,5963770,132,0
g247,610,9,4,9477,0
g248,377,3,93181,132,0
g249,464,1271,9,8265,0
g25,633,11646,4,270,0
g250,394,7,46590,128,0
g251,184,44,50,0,0
g252,768,3,18424,75,0
g253,619,37,4,9449,0
g254,616,372734,4,154,0
g255,523,237,9,52771,0
g256,505,4094,4,48914,0
g257,617,16,4,9470,0
g258,195,43,49,0,0
g259,375,3,23293,132,0
g26,634,5963771,4,154,0
g260,415,3069,5,49936,0
g261,873,66,4,107,1
g262,242,3,16381,36999,0
g263,494,1490759,9,319,0
g264,577,372558,11,312,0
g265,847,10,65523,37009,0
g266,591,2,2,18548,0
