gate,net_ID,CC0,CC1,CO,is_trojan
g0,2109,565,20,620,1
g1,3021,52,319,3928,1
g10,1850,618,749,984,1
g100,2141,308,39,1350,1
g1000,3083,338,95,1164,1
g1001,3143,44,940,1501,1
g1002,3280,693,426,1297,1
g1003,2664,7,824,2528,1
g1004,1937,5,414,635,1
g1005,2165,415,34,1549,1
g1006,2688,12,554,775,1
g1007,2909,302,35,992,1
g1008,262,3,134,166,0
g1009,3458,289,20,281,1
g101,1389,22,153,660,1
g1010,3050,57,591,3923,1
g1011,1059,3,130,175,0
g1012,2644,278,11,607,1
g1013,1731,304,173,325,1
g1014,1229,10,264,37,0
g1015,1947,5,414,713,1
g1016,906,11,1623,216,0
g1017,1549,166,35,117,1
g1018,3623,7499,7598,500,1
g1019,664,7,301,125,0
g102,2949,45,312,2489,1
g1020,559,136,4,166,0
g1021,1220,9,134,171,0
g1022,637,1419,4,212,0
g1023,1632,170,94,629,1
g1024,3297,902,927,3432,1
g1025,3152,113,380,1217,1
g1026,1614,58,189,953,1
g1027,3360,8,148,1318,1
g1028,3579,6,763,224,1
g1029,2130,563,34,697,1
g103,2280,273,6,1599,1
g1030,608,301,4,144,0
g1031,1112,5,143,175,0
g1032,144,2,2,0,0
g1033,1131,5,142,180,0
g1034,1477,10,325,1299,1
g1035,558,135,4,146,0
g1036,620,136,4,165,0
g1037,2552,7,549,1020,1
g1038,2818,285,18,885,1
g1039,1671,61,371,621,1
g104,1210,9,131,169,0
g1040,3267,209,864,3490,1
g1041,2197,32,945,589,1
g1042,457,859,6,1106,0
g1043,2895,19,571,2437,1
g1044,3173,357,132,2052,1
g1045,1567,194,63,827,1
g1046,517,731,161,69,0
g1047,1086,5,140,174,0
g1048,1597,187,56,1106,1
g1049,300,3,112,988,0
g105,865,7,774,9,0
g1050,256,3,137,168,0
g1051,1963,5,279,678,1
g1052,1133,5,269,42,0
g1053,1338,135,7,814,1
g1054,1799,578,200,1402,1
g1055,1093,5,140,174,0
g1056,1861,642,1568,960,1
g1057,576,259,4,301,0
g1058,2354,273,6,1597,1
g1059,1355,9,142,430,1
g106,1783,283,414,1319,1
g1060,2229,135,4,445,1
g1061,931,13,269,305,0
g1062,3577,6,484,224,1
g1063,533,595,11,982,0
g1064,1717,114,245,2110,1
g1065,2986,296,54,1341,1
