gate,net_ID,CC0,CC1,CO,is_trojan
g0,56,4,7996,0,0
g1,57,4,11983,0,0
g10,52,2,2,0,0
g100,114,3,83719,16166,0
g1000,2256,5,239491,104584,0
g1001,2255,5,251470,112611,0
g1002,2254,5,263465,120654,0
g1003,2253,5,227491,96536,0
g1004,2252,5,95630,8147,0
g1005,2251,5,107609,16174,0
g1006,2250,5,119604,24217,0
g1007,2249,5,131583,32244,0
g1008,2248,5,143583,40292,0
g1009,2247,5,155562,48319,0
g101,115,3,95666,16166,0
g1010,2246,5,167557,56362,0
g1011,2245,5,275444,128682,0
g1012,2244,5,95907,64395,0
g1013,2243,5,107854,64389,0
g1014,2242,5,119801,64389,0
g1015,2241,5,131748,64389,0
g1016,2240,5,143695,64389,0
g1017,2239,5,155642,64389,0
g1018,2238,5,215677,120654,0
g1019,2237,5,167589,64389,0
g102,116,3,107613,16166,0
g1020,2236,5,107909,72445,0
g1021,2235,5,119856,72439,0
g1022,2234,5,131803,72439,0
g1023,2233,5,143750,72439,0
g1024,2232,5,155697,72439,0
g1025,2231,5,167644,72439,0
g1026,2230,5,179591,72439,0
g1027,2229,5,119888,80472,0
g1028,2228,5,131835,80466,0
g1029,2227,5,143782,80466,0
g103,117,3,7,24212,0
g1030,2226,5,155729,80466,0
g1031,2225,5,167676,80466,0
g1032,2224,5,179623,80466,0
g1033,2223,5,191570,80466,0
g1034,2222,5,131883,88515,0
g1035,2221,5,143830,88509,0
g1036,2220,5,191783,120654,0
g1037,2219,5,179671,88509,0
g1038,2218,5,227576,112611,0
g1039,2217,5,155777,88509,0
g104,118,3,47926,24209,0
g1040,2216,5,143862,96542,0
g1041,2215,5,155809,96536,0
g1042,2214,5,179703,96536,0
g1043,2213,5,191650,96536,0
g1044,2212,5,251518,120654,0
g1045,2211,5,203597,96536,0
g1046,2210,5,215544,96536,0
g1047,2209,5,167756,96536,0
g1048,2208,5,191618,88509,0
g1049,2207,5,239571,120654,0
g105,119,3,59873,24209,0
g1050,2206,5,215597,104584,0
g1051,2205,5,167841,112617,0
g1052,2299,8022,5,12216,0
g1053,2298,12040,5,12262,0
g1054,2297,32116,5,12435,0
g1055,2296,48177,5,12590,0
g1056,2295,16057,5,12282,0
g1057,2185,10,147,31,0
g1058,2184,5,239523,112611,0
g1059,2183,5,191735,112611,0
g106,120,3,71820,24209,0
g1060,2182,5,12001,8153,0
g1061,2181,5,23948,8147,0
g1062,2180,5,35895,8147,0
g1063,2179,5,47842,8147,0
g1064,2178,5,59789,8147,0
g1065,2177,5,71736,8147,0
g1066,2176,5,83683,8147,0
g1067,2175,5,23980,16180,0
g1068,2174,5,35927,16174,0
g1069,2173,5,47874,16174,0
g107,121,3,83767,24209,0
g1070,2172,5,179788,112611,0
g1071,2171,5,59821,16174,0
g1072,2170,5,71768,16174,0
g1073,2169,5,95662,16174,0
g1074,2168,5,83715,16174,0
g1075,2167,5,35975,24223,0
g1076,2166,5,47922,24217,0
g1077,2165,5,59869,24217,0
g1078,2164,5,71816,24217,0
g1079,2163,5,83763,24217,0
g108,122,3,95714,24209,0
g1080,2162,5,95710,24217,0
g1081,2161,5,107657,24217,0
g1082,2160,5,47954,32250,0
g1083,2159,5,59901,32244,0
g1084,2158,5,71848,32244,0
g1085,2157,5,83795,32244,0
g1086,2156,5,95742,32244,0
g1087,2155,5,107689,32244,0
g1088,2154,5,119636,32244,0
g1089,2153,5,59954,40298,0
g109,123,3,107661,24209,0
