gate,net_ID,CC0,CC1,CO,is_trojan
g0,470,2,2,0,0
g1,471,2,2,0,0
g10,3995,3,4,100,0
g100,545,3,103,197,0
g1000,3329,5,289,15,0
g1001,3328,5,289,15,0
g1002,3327,5,289,15,0
g1003,3326,5,289,15,0
g1004,3325,5,288,15,0
g1005,3324,5,288,15,0
g1006,3323,5,289,15,0
g1007,3322,5,288,15,0
g1008,3321,5,286,15,0
g1009,3320,5,285,15,0
g101,546,3,103,509,0
g1010,3319,5,286,15,0
g1011,3318,5,285,15,0
g1012,3317,5,285,15,0
g1013,3316,5,285,15,0
g1014,3315,5,286,15,0
g1015,3314,5,285,15,0
g1016,3313,5,285,15,0
g1017,3312,5,285,15,0
g1018,3311,5,285,15,0
g1019,3310,5,285,15,0
g102,547,3,104,509,0
g1020,3309,5,285,15,0
g1021,3308,5,285,15,0
g1022,3307,5,286,15,0
g1023,3306,5,286,15,0
g1024,3305,5,286,15,0
g1025,3304,5,286,15,0
g1026,3303,5,286,15,0
g1027,3302,5,285,15,0
g1028,3301,5,285,15,0
g1029,3300,5,285,15,0
g103,548,3,103,509,0
g1030,3299,5,286,15,0
g1031,3298,7,100,526,0
g1032,3297,5,285,15,0
g1033,3296,5,286,15,0
g1034,3295,5,285,15,0
g1035,3294,5,286,15,0
g1036,3293,5,285,15,0
g1037,3292,5,285,15,0
g1038,3291,5,286,15,0
g1039,3290,5,286,15,0
g104,549,3,103,506,0
g1040,3289,7,100,526,0
g1041,3288,95,112,425,0
g1042,3287,50,110,470,0
g1043,3286,71,111,451,0
g1044,3285,193,9,329,0
g1045,3284,62,109,447,0
g1046,3283,191,11,318,0
g1047,3282,59,111,464,0
g1048,3281,92,111,431,0
g1049,3280,3,250,11,0
g105,550,3,104,509,0
g1050,3279,9,100,524,0
g1051,3278,9,100,212,0
g1052,3277,9,100,521,0
g1053,3276,7,99,214,0
g1054,3275,9,99,212,0
g1055,3274,7,100,214,0
g1056,3273,7,100,214,0
g1057,3272,7,99,214,0
g1058,3271,9,100,212,0
g1059,3270,9,100,212,0
g106,551,3,104,506,0
g1060,3269,7,100,214,0
g1061,3268,9,100,212,0
g1062,3267,7,99,214,0
g1063,3266,9,100,212,0
g1064,3265,9,99,212,0
g1065,3264,7,100,214,0
g1066,3263,7,99,214,0
g1067,3262,9,100,212,0
g1068,3261,7,99,214,0
g1069,3260,7,99,214,0
g107,552,3,103,509,0
g1070,3259,9,100,212,0
g1071,3258,9,101,212,0
g1072,3257,7,99,217,0
g1073,3256,7,99,214,0
