gate,net_ID,CC0,CC1,CO,is_trojan
g0,994,2,2,201,0
g1,948,325,4,17,0
g10,282,2,2,0,0
g100,2527,12,68,629,0
g1000,1660,6,69,637,0
g1001,710,3,238,436,0
g1002,2595,11,678,154,0
g1003,2626,12,361,321,0
g1004,161,4,493,0,0
g1005,2898,12,201,3,0
g1006,1512,6,6,163,0
g1007,2724,11,139,540,0
g1008,2079,5,148,546,0
g1009,1180,143,4,536,0
g101,2053,5,257,320,0
g1010,412,3,22,667,0
g1011,841,143,4,536,0
g1012,2167,5,150,565,0
g1013,2441,5,677,160,0
g1014,615,3,243,436,0
g1015,2225,5,152,552,0
g1016,857,23,4,691,0
g1017,1167,511,4,166,0
g1018,2434,5,138,546,0
g1019,2257,5,823,9,0
g102,369,3,24,667,0
g1020,1013,2,2,692,0
g1021,1055,2,2,694,0
g1022,180,4,828,0,0
g1023,1164,347,4,150,0
g1024,2171,5,30,684,0
g1025,1170,682,4,150,0
g1026,1426,74,9,630,0
g1027,2899,12,656,3,0
g1028,1780,5,30,674,0
g1029,1303,323,4,15,0
g103,556,3,144,542,0
g1030,1688,6,140,551,0
g1031,673,3,510,154,0
g1032,2972,23,4,1078,1
g1033,2904,12,656,3,0
g1034,1503,30,9,304,0
g1035,1511,244,9,430,0
g1036,2853,9,19,687,0
g1037,2665,12,196,444,0
g1038,2318,3,20,676,0
g1039,1637,6,195,450,0
g104,2277,5,486,9,0
g1040,809,23,4,673,0
g1041,1644,6,239,445,0
g1042,1054,2,2,692,0
g1043,1573,6,655,9,0
g1044,1351,4,2,160,0
g1045,1735,5,30,158,0
g1046,1806,5,28,684,0
g1047,2565,11,678,154,0
g1048,1789,5,28,674,0
g1049,1121,511,4,170,0
g105,2969,27,8,1074,1
g1050,2642,12,240,439,0
g1051,2206,5,28,144,0
g1052,236,4,828,0,0
g1053,1993,5,251,446,0
g1054,1962,5,200,450,0
g1055,1340,323,4,17,0
g1056,745,3,364,305,0
g1057,1835,5,64,637,0
g1058,1636,6,239,458,0
g1059,1611,6,67,622,0
g106,2662,11,678,154,0
g1060,2258,5,823,9,0
g1061,1397,244,9,430,0
g1062,1496,26,7,663,0
g1063,985,491,4,16,0
g1064,1521,28,9,617,0
g1065,2166,5,28,674,0
g1066,698,3,194,441,0
g1067,1665,6,140,564,0
g1068,648,3,71,613,0
g1069,2071,5,350,160,0
g107,889,321,4,309,0
g1070,198,3,659,0,0
g1071,2222,5,152,552,0
g1072,965,828,4,14,0
g1073,945,828,4,16,0
