gate,net_ID,CC0,CC1,CO,is_trojan
g0,27,4,18,0,0
g1,28,4,18,0,0
g10,195,9,3,3,0
g100,110,3,24,25,0
g101,109,3,29,25,0
g102,107,3,29,25,0
g103,105,3,29,25,0
g104,102,3,29,25,0
g105,100,3,29,25,0
g106,98,3,29,25,0
g107,96,3,29,25,0
g108,95,3,29,25,0
g109,93,3,29,25,0
g11,194,3,70,3,0
g110,91,3,29,25,0
g111,90,3,29,25,0
g112,89,3,29,25,0
g113,88,3,29,25,0
g114,86,3,16,25,0
g115,85,3,16,25,0
g116,83,3,29,25,0
g117,116,5,2,44,0
g118,103,10,2,31,0
g119,99,10,2,31,0
g12,192,6,10,6,0
g120,82,3,8,46,0
g121,81,8,3,33,0
g122,79,8,3,33,0
g123,77,3,23,8,0
g124,76,3,23,8,0
g125,74,3,27,14,0
g126,73,3,23,8,0
g127,72,3,23,8,0
g128,71,3,23,8,0
g129,70,3,23,8,0
g13,191,67,6,6,0
g130,69,3,23,8,0
g131,68,3,23,8,0
g132,67,5,5,49,0
g133,65,5,3,36,0
g134,78,5,3,28,0
g135,63,3,5,25,0
g136,62,3,5,25,0
g137,60,3,5,25,0
g138,59,3,5,25,0
g139,58,3,5,25,0
g14,190,3,138,9,0
g140,66,2,4,27,0
g141,158,5,3,15,0
g142,57,3,5,25,0
g143,56,3,5,25,0
g144,55,3,5,25,0
g145,54,2,9,10,0
g146,53,2,76,10,0
g147,64,2,4,37,0
g148,84,5,3,36,0
g149,75,4,2,27,0
g15,189,3,66,9,0
g150,52,2,2,28,0
g151,51,2,2,28,0
g152,50,2,2,39,0
g153,49,2,2,39,0
g154,108,18,4,13,0
g155,106,18,4,13,0
g156,80,2,2,39,0
g157,97,18,4,13,0
g158,101,18,4,13,0
g159,193,2,2,10,0
g16,187,135,10,12,0
g160,94,18,4,13,0
g161,104,18,4,13,0
g162,61,2,2,28,0
g163,48,2,2,28,0
g164,47,2,2,28,0
g165,46,2,2,28,0
g166,45,2,2,39,0
g167,44,22,4,19,0
g168,43,2,2,28,0
g169,42,2,2,28,0
g17,35,3,21,0,0
g170,41,2,2,29,0
g171,40,74,4,12,0
g172,39,2,2,28,0
g173,38,7,4,12,0
g174,188,2,2,18,0
g175,92,18,4,13,0
g176,87,18,4,13,0
g18,186,63,17,12,0
g19,185,101,9,46,0
g2,29,4,18,0,0
g20,184,14,18,3,0
g21,183,47,16,28,0
g22,182,8,21,9,0
g23,181,84,9,63,0
g24,180,39,16,36,0
g25,20,3,17,0,0
g26,22,3,17,0,0
g27,19,3,17,0,0
g28,25,3,17,0,0
g29,23,3,17,0,0
g3,30,4,18,0,0
g30,21,3,17,0,0
g31,26,3,17,0,0
g32,24,3,17,0,0
g33,179,67,10,80,0
g34,178,4,20,13,0
g35,177,5,17,12,0
g36,176,8,14,3,0
g37,175,8,14,3,0
g38,174,31,17,44,0
g39,173,8,14,3,0
g4,31,4,18,0,0
g40,172,8,14,3,0
g41,171,8,14,3,0
g42,170,8,14,3,0
g43,169,8,14,3,0
g44,168,8,14,3,0
g45,167,33,9,114,0
g46,166,14,5,19,0
g47,164,14,5,15,0
g48,162,33,9,114,0
g49,161,33,9,114,0
g5,32,4,18,0,0
g50,160,4,13,7,0
g51,159,4,13,7,0
g52,157,15,16,60,0
g53,155,15,16,60,0
g54,153,15,16,60,0
g55,152,4,13,7,0
g56,150,4,13,7,0
g57,148,4,13,7,0
g58,146,4,13,7,0
g59,165,4,13,7,0
g6,33,4,18,0,0
g60,163,4,13,7,0
g61,142,16,8,131,0
g62,141,16,8,131,0
g63,140,16,8,131,0
g64,139,16,8,131,0
g65,138,16,8,131,0
g66,137,16,8,131,0
g67,136,16,8,131,0
g68,135,16,8,131,0
g69,144,7,15,13,0
g7,34,4,18,0,0
g70,151,7,15,13,0
g71,154,7,15,13,0
g72,156,7,15,13,0
g73,143,7,15,13,0
g74,145,7,15,13,0
g75,149,7,15,13,0
g76,147,7,15,13,0
g77,134,7,25,21,0
g78,133,7,25,21,0
g79,132,7,25,21,0
g8,36,3,6,0,0
g80,131,7,25,21,0
g81,130,7,25,21,0
g82,129,7,17,21,0
g83,128,7,25,21,0
g84,127,7,25,21,0
g85,126,7,6,21,0
g86,125,7,6,21,0
g87,124,7,6,21,0
g88,123,7,6,21,0
g89,122,7,6,21,0
g9,37,3,73,0,0
g90,121,7,6,21,0
g91,120,7,6,21,0
g92,119,7,6,21,0
g93,118,3,24,25,0
g94,117,3,24,25,0
g95,115,3,24,25,0
g96,114,3,24,25,0
g97,113,3,24,25,0
g98,112,3,24,25,0
g99,111,3,24,25,0
