gate,net_ID,CC0,CC1,CO,is_trojan
g0,54,4,61,0,0
g1,55,4,83,0,0
g10,321,6,73,3,0
g100,249,2,119,56,0
g101,251,8,85055,15,0
g102,247,2,67,56,0
g103,246,2,139,56,0
g104,245,2,89,56,0
g105,244,59,12,52,0
g106,243,6,87,52,0
g107,242,7,67,51,0
g108,241,7,119,24,0
g109,248,66,3,85009,0
g11,320,6,104,3,0
g110,235,3,138,55,0
g111,234,3,138,3,0
g112,233,3,118,28,0
g113,232,3,87,3,0
g114,231,3,66,3,0
g115,230,3,192,3,0
g116,240,3,169,28,0
g117,239,3,192,55,0
g118,238,3,87,28,0
g119,237,3,118,28,0
g12,319,3,103,3,0
g120,236,3,66,28,0
g121,229,87,3,58,0
g122,226,191,2,58,0
g123,225,3,243,3,0
g124,224,3,118,3,0
g125,223,117,2,58,0
g126,222,2,242,56,0
g127,221,3,169,3,0
g128,220,2,14,56,0
g129,219,65,2,58,0
g13,318,3,50,3,0
g130,218,137,2,58,0
g131,228,2,86,56,0
g132,227,63,12,26,0
g133,48,3,8,0,0
g134,49,3,8,0,0
g135,50,3,8,0,0
g136,51,3,8,0,0
g137,52,3,91,0,0
g138,53,3,18,0,0
g139,28,3,60,0,0
g14,317,3,72,3,0
g140,30,3,113,0,0
g141,31,3,67,0,0
g142,32,3,89,0,0
g143,33,3,120,0,0
g144,34,3,74,0,0
g145,29,3,82,0,0
g146,217,12,56,58,0
g147,211,240,6,6,0
g148,210,63,7,6,0
g149,208,189,6,6,0
g15,316,69,25,6,0
g150,37,3,81,0,0
g151,38,3,103,0,0
g152,39,3,134,0,0
g153,36,3,127,0,0
g154,35,3,96,0,0
g155,216,55,11,56,0
g156,215,166,5,6,0
g157,214,84,6,6,0
g158,213,135,6,6,0
g159,212,5,239,7,0
g16,315,100,21,6,0
g160,209,6,62,7,0
g161,207,5,188,7,0
g162,206,115,5,6,0
g163,205,3,100,3,0
g164,204,3,5,3,0
g165,203,3,5,3,0
g166,202,3,5,3,0
g167,201,3,5,3,0
g168,200,3,88,3,0
g169,199,3,15,3,0
g17,314,47,26,6,0
g170,198,3,117,3,0
g171,197,3,86,3,0
g172,196,3,64,3,0
g173,195,3,71,3,0
g174,194,3,124,3,0
g175,193,3,131,3,0
g176,192,3,93,3,0
g177,191,3,79,3,0
g178,190,2,57,7,0
g179,189,2,110,7,0
g18,57,3,11,0,0
g180,188,2,79,7,0
g181,187,3,57,3,0
g182,186,3,78,3,0
g183,185,3,110,3,0
g184,184,338,4,169806,0
g185,183,678,4,169464,0
g186,182,5438,4,164701,0
g187,181,108,4,9,0
g188,180,68,4,6,0
