gate,net_ID,CC0,CC1,CO,is_trojan
g0,3204,#INF,4,#INF,0
g1,3203,#INF,4,#INF,0
g10,3194,#INF,4,#INF,0
g100,309,14,101,0,0
g1000,2816,4,103,20,0
g1001,2815,4,105,18,0
g1002,2814,4,103,20,0
g1003,2813,4,103,20,0
g1004,2812,4,105,18,0
g1005,2811,4,103,20,0
g1006,2810,4,107,20,0
g1007,2809,4,103,20,0
g1008,2808,4,103,20,0
g1009,2807,4,103,20,0
g101,140,14,97,0,0
g1010,2806,4,101,18,0
g1011,2805,4,107,20,0
g1012,2804,4,103,20,0
g1013,2803,4,103,20,0
g1014,2802,4,107,20,0
g1015,2801,4,103,20,0
g1016,2800,4,107,20,0
g1017,2799,4,103,20,0
g1018,2798,4,105,18,0
g1019,2797,4,103,20,0
g102,137,14,97,0,0
g1020,2796,4,107,20,0
g1021,2795,4,103,20,0
g1022,2794,4,107,20,0
g1023,2793,4,103,20,0
g1024,2792,4,103,20,0
g1025,2791,4,103,20,0
g1026,2790,4,103,20,0
g1027,2789,4,107,20,0
g1028,2788,4,103,20,0
g1029,2787,4,103,20,0
g103,306,14,99,0,0
g1030,2786,4,105,18,0
g1031,2785,4,107,20,0
g1032,2784,4,103,20,0
g1033,2783,4,103,20,0
g1034,2782,4,107,20,0
g1035,2781,4,101,18,0
g1036,2780,4,107,20,0
g1037,2779,4,107,20,0
g1038,2778,4,103,20,0
g1039,2777,4,103,20,0
g104,187,14,95,0,0
g1040,2776,4,103,20,0
g1041,2775,4,107,20,0
g1042,2774,4,103,20,0
g1043,2773,4,83,20,0
g1044,2871,27,2,#INF,0
g1045,2771,4,103,20,0
g1046,2770,4,107,20,0
g1047,2769,4,103,20,0
g1048,2768,4,103,20,0
g1049,2767,4,107,20,0
g105,136,14,97,0,0
g1050,2766,4,103,20,0
g1051,2765,4,107,20,0
g1052,2764,4,103,20,0
g1053,2763,4,103,20,0
g1054,2762,4,103,20,0
g1055,2761,4,107,20,0
g1056,2760,4,107,20,0
g1057,2759,4,103,20,0
g1058,2758,4,103,20,0
g1059,2757,4,103,20,0
g106,180,14,97,0,0
g1060,2756,4,103,20,0
g1061,2755,4,107,20,0
g1062,2754,4,101,18,0
g1063,2753,4,107,20,0
g1064,2752,4,103,20,0
g1065,2751,4,103,20,0
g1066,2750,4,105,18,0
g1067,2749,4,103,20,0
g1068,2748,4,105,18,0
g1069,2747,4,103,20,0
g107,226,14,97,0,0
g1070,2746,4,97,20,0
g1071,2745,4,107,20,0
g1072,2744,4,107,20,0
g1073,2743,4,103,20,0
g1074,2742,4,107,20,0
g1075,2741,4,107,20,0
g1076,2740,4,107,20,0
g1077,2739,4,107,20,0
g1078,2738,4,107,20,0
g1079,2737,4,107,20,0
g108,135,14,97,0,0
g1080,2736,4,105,18,0
g1081,2735,4,107,20,0
g1082,2734,4,107,20,0
g1083,2733,4,105,18,0
g1084,2732,4,105,18,0
g1085,2731,4,70,20,0
g1086,2730,4,80,20,0
g1087,2729,4,92,20,0
g1088,2728,4,103,20,0
g1089,2727,4,103,20,0
g109,303,14,101,0,0
g1090,2726,4,103,20,0
g1091,2725,4,65,20,0
g1092,2724,4,103,20,0
g1093,2723,4,103,20,0
g1094,2722,4,101,18,0
g1095,2721,4,103,20,0
g1096,2720,4,103,20,0
g1097,2719,4,101,18,0
g1098,2718,4,76,20,0
g1099,2717,4,103,20,0
g11,3193,#INF,4,#INF,0
g110,302,14,101,0,0
g1100,2716,4,103,20,0
g1101,2715,4,103,20,0
g1102,2714,4,103,20,0
g1103,2713,4,103,20,0
g1104,2712,4,103,20,0
g1105,2711,4,103,20,0
g1106,2710,4,103,20,0
g1107,2709,4,101,18,0
g1108,2708,4,101,18,0
g1109,2707,4,87,20,0
g111,134,14,86,0,0
g1110,2706,4,103,20,0
g1111,2705,4,109,20,0
g1112,2704,4,103,20,0
g1113,2703,4,103,20,0
g1114,2702,4,103,20,0
g1115,2701,4,103,20,0
g1116,2700,4,109,20,0
g1117,2699,4,103,20,0
g1118,2698,4,103,20,0
g1119,2697,4,103,20,0
g112,301,14,101,0,0
g1120,2696,4,120,20,0
g1121,2695,4,101,18,0
g1122,2694,4,120,20,0
g1123,2693,4,103,20,0
g1124,2692,4,103,20,0
g1125,2691,4,101,18,0
g1126,2690,4,103,20,0
g1127,2689,4,103,20,0
g1128,2688,4,120,20,0
g1129,2687,4,101,18,0
g113,300,14,101,0,0
