gate,net_ID,CC0,CC1,CO,is_trojan
g0,1853,170,4,73,0
g1,1864,12,11,134,0
g10,1856,12,11,134,0
g100,1776,5,4,132,0
g1000,691,18,38,663,0
g1001,690,18,43,850,0
g1002,689,13,38,581,0
g1003,688,20,40,2761,0
g1004,687,18,43,856,0
g1005,686,18,38,470,0
g1006,685,10,52,874,0
g1007,684,18,43,391,0
g1008,683,20,40,2761,0
g1009,682,18,38,330,0
g101,1775,10,11,134,0
g1010,681,18,43,757,0
g1011,680,21,18,248,0
g1012,679,20,40,2761,0
g1013,678,13,23,206,0
g1014,677,13,24,899,0
g1015,676,41,39,2742,0
g1016,675,38,35,740,0
g1017,699,41,38,733,0
g1018,674,28,25,770,0
g1019,672,27,24,597,0
g102,1774,5,4,132,0
g1020,670,22,19,446,0
g1021,668,39,37,837,0
g1022,667,38,35,849,0
g1023,666,39,37,2744,0
g1024,665,38,35,740,0
g1025,664,38,35,374,0
g1026,663,38,35,2745,0
g1027,662,38,35,736,0
g1028,661,38,35,177,0
g1029,660,38,35,646,0
g103,1773,5,4,146,0
g1030,659,39,37,847,0
g1031,658,18,21,194,0
g1032,657,39,37,644,0
g1033,656,23,26,571,0
g1034,655,23,26,243,0
g1035,654,38,35,841,0
g1036,653,33,30,564,0
g1037,652,18,21,250,0
g1038,651,39,37,2744,0
g1039,650,38,35,453,0
g104,1772,10,11,147,0
g1040,649,18,21,391,0
g1041,648,39,37,2742,0
g1042,647,39,37,791,0
g1043,646,38,35,313,0
g1044,673,24,27,657,0
g1045,671,23,26,465,0
g1046,669,18,21,330,0
g1047,645,32,8,240,0
g1048,643,37,8,586,0
g1049,640,38,23,992,0
g105,1771,10,11,147,0
g1050,639,7,36,222,0
g1051,638,22,39,776,0
g1052,637,22,39,2777,0
g1053,636,17,32,684,0
g1054,635,22,37,597,0
g1055,634,22,39,877,0
g1056,633,22,37,512,0
g1057,632,22,37,886,0
g1058,631,22,37,412,0
g1059,630,22,39,778,0
g106,1770,6,5,150,0
g1060,629,22,37,270,0
g1061,628,22,39,871,0
g1062,627,22,37,2802,0
g1063,626,22,37,774,0
g1064,625,7,33,257,0
g1065,624,18,39,776,0
g1066,622,20,40,2797,0
g1067,621,7,38,674,0
g1068,620,18,39,2763,0
g1069,619,17,24,684,0
g107,1769,5,4,138,0
g1070,618,18,39,797,0
g1071,617,18,39,2763,0
g1072,616,17,19,491,0
g1073,615,7,33,481,0
g1074,644,7,31,241,0
g1075,642,7,36,587,0
g1076,641,22,37,752,0
g1077,614,32,8,502,0
g1078,612,38,9,888,0
g1079,610,18,42,2762,0
g108,34,3,30,0,0
g1080,609,18,41,753,0
g1081,608,18,39,922,0
g1082,607,18,39,2783,0
g1083,606,7,33,341,0
g1084,605,17,19,351,0
g1085,604,20,40,2761,0
g1086,603,17,26,202,0
g1087,602,12,5,279,0
g1088,601,18,41,2778,0
g1089,600,18,41,2783,0
g109,35,3,30,0,0
g1090,599,18,39,901,0
g1091,598,18,41,756,0
g1092,597,18,39,2783,0
g1093,596,18,42,755,0
g1094,595,18,41,259,0
g1095,594,13,36,668,0
g1096,593,18,42,850,0
g1097,592,18,41,576,0
g1098,591,18,42,856,0
g1099,590,18,41,470,0
g11,1880,11,10,122,0
g110,36,3,30,0,0
g1100,589,18,41,2778,0
g1101,588,18,41,866,0
g1102,587,18,41,391,0
g1103,586,18,42,757,0
g1104,585,12,31,256,0
g1105,613,7,31,402,0
g1106,611,8,37,763,0
g1107,582,18,21,264,0
g1108,571,18,21,793,0
g1109,569,18,21,690,0
g111,37,3,30,0,0
g1110,567,18,21,289,0
g1111,565,18,21,2819,0
g1112,563,18,21,2804,0
g1113,561,18,21,698,0
g1114,559,18,21,2798,0
g1115,557,20,22,890,0
g1116,555,18,21,797,0
g1117,553,18,21,818,0
g1118,551,18,21,2783,0
g1119,549,18,21,616,0
g112,38,3,30,0,0
g1120,547,18,21,616,0
g1121,545,18,21,2804,0
g1122,543,20,22,795,0
g1123,541,20,22,2796,0
g1124,539,18,21,2784,0
g1125,537,18,21,2784,0
g1126,535,18,21,797,0
g1127,532,18,21,2763,0
g1128,530,20,22,2826,0
g1129,528,18,21,892,0
g113,39,3,30,0,0
g1130,526,20,22,2799,0
g1131,525,6,13,285,0
g1132,584,15,12,275,0
g1133,583,15,12,254,0
g1134,581,20,17,263,0
g1135,580,21,19,2760,0
g1136,579,15,12,200,0
g1137,578,20,17,471,0
g1138,577,20,17,857,0
g1139,576,20,17,577,0
g114,40,3,30,0,0
g1140,575,21,19,752,0
g1141,574,15,12,476,0
g1142,573,20,17,795,0
g1143,572,20,17,577,0
