gate,net_ID,CC0,CC1,CO,is_trojan
g0,846,40,4,18,0
g1,845,40,4,19,0
g10,836,39,4,18,0
g100,923,8,8,89,0
g101,927,8,8,91,0
g102,925,8,8,91,0
g103,924,8,8,95,0
g104,922,8,8,68,0
g105,926,8,8,91,0
g106,900,8,8,95,0
g107,906,8,8,92,0
g108,905,8,8,90,0
g109,882,14,14,96,0
g11,835,40,4,19,0
g110,933,7,7,80,0
g111,907,7,7,77,0
g112,921,3,3,69,0
g113,136,9,3,56,0
g114,146,13,7,91,0
g115,141,14,8,91,0
g116,144,14,8,91,0
g117,805,5,43,6,0
g118,804,5,47,10,0
g119,809,2,8,52,0
g12,834,40,4,19,0
g120,808,6,12,52,0
g121,807,7,13,52,0
g122,806,7,13,52,0
g123,142,14,8,91,0
g124,139,14,8,91,0
g125,143,14,8,91,0
g126,138,14,8,81,0
g127,137,14,8,78,0
g128,145,14,8,91,0
g129,140,14,8,91,0
g13,47,16,16,0,0
g130,803,7,13,52,0
g131,802,7,13,52,0
g132,801,7,13,52,0
g133,800,7,13,52,0
g134,799,7,13,52,0
g135,798,7,13,52,0
g136,797,7,13,52,0
g137,796,7,7,42,0
g138,795,7,7,50,0
g139,96,3,48,8,0
g14,41,16,16,0,0
g140,97,3,55,13,0
g141,98,3,74,13,0
g142,99,3,80,13,0
g143,100,3,76,13,0
g144,101,3,76,13,0
g145,102,3,76,13,0
g146,103,3,76,13,0
g147,104,3,76,13,0
g148,105,3,76,13,0
g149,106,3,76,13,0
g15,40,16,16,0,0
g150,107,3,75,13,0
g151,108,3,65,12,0
g152,83,3,41,8,0
g153,84,3,57,13,0
g154,85,3,66,13,0
g155,86,3,80,13,0
g156,87,3,80,13,0
g157,88,3,80,13,0
g158,89,3,80,13,0
g159,90,3,80,13,0
g16,37,16,16,0,0
g160,91,3,80,13,0
g161,92,3,80,13,0
g162,93,3,75,13,0
g163,94,3,77,13,0
g164,95,3,62,12,0
g165,109,3,43,8,0
g166,110,3,53,13,0
g167,111,3,66,13,0
g168,112,3,88,13,0
g169,113,3,94,13,0
g17,36,16,16,0,0
g170,114,3,90,13,0
g171,115,3,90,13,0
g172,116,3,92,13,0
g173,117,3,94,13,0
g174,118,3,92,13,0
g175,119,3,90,13,0
g176,120,3,90,13,0
g177,121,3,88,12,0
g178,70,3,34,15,0
g179,71,3,39,15,0
g18,55,16,16,0,0
g180,72,3,39,20,0
g181,73,3,39,20,0
g182,74,3,39,20,0
g183,75,3,39,20,0
g184,76,3,39,20,0
g185,77,3,39,20,0
g186,78,3,39,20,0
g187,79,3,39,20,0
g188,80,3,39,20,0
g189,81,3,39,19,0
g19,54,16,16,0,0
g190,82,3,38,19,0
g191,148,3,20,49,0
g192,149,3,47,49,0
g193,150,3,94,49,0
g194,151,3,20,39,0
g195,152,3,39,49,0
g196,153,3,73,49,0
g197,794,2,17,42,0
g198,793,2,36,52,0
g199,792,2,70,52,0
g2,844,40,4,19,0
g20,53,16,16,0,0
g200,791,15,22,44,0
g201,790,34,12,54,0
g202,788,68,8,54,0
g203,789,7,67,52,0
g204,787,7,36,23,0
g205,786,7,31,18,0
g206,785,7,36,18,0
g207,784,7,36,23,0
g208,783,7,36,23,0
g209,782,7,36,23,0
g21,52,16,16,0,0
g210,781,7,36,23,0
g211,780,18,40,11,0
g212,779,7,36,23,0
g213,778,7,36,23,0
g214,777,7,36,23,0
g215,776,7,36,23,0
g216,775,7,36,22,0
g217,774,7,35,22,0
g218,773,21,40,98,0
g219,772,3,35,27,0
g22,39,16,16,0,0
g220,771,17,77,16,0
g221,770,3,65,27,0
g222,769,3,60,22,0
g223,768,3,30,22,0
g224,767,3,35,22,0
g225,766,3,65,22,0
g226,765,3,65,27,0
g227,764,3,35,27,0
g228,763,3,35,27,0
g229,762,3,65,27,0
g23,51,16,16,0,0
g230,761,3,35,27,0
g231,760,3,35,27,0
g232,759,3,65,27,0
g233,758,3,65,27,0
g234,757,3,35,27,0
g235,756,17,77,16,0
g236,755,3,65,27,0
g237,754,3,65,27,0
g238,753,3,35,27,0
g239,752,3,35,27,0
g24,50,16,16,0,0
g240,751,3,65,27,0
g241,750,3,65,27,0
g242,749,3,35,27,0
g243,748,3,35,26,0
g244,747,3,65,26,0
g245,746,3,34,26,0
g246,745,3,64,26,0
g247,744,36,51,102,0
g248,743,17,71,16,0
g249,742,17,77,16,0
g25,49,16,16,0,0
g250,741,14,54,16,0
g251,740,17,72,16,0
g252,739,17,74,16,0
g253,738,17,59,15,0
g254,737,17,77,16,0
g255,736,17,73,16,0
g256,735,17,63,16,0
g257,734,17,45,11,0
g258,733,17,85,16,0
g259,732,17,91,16,0
g26,48,16,16,0,0
g260,731,17,87,16,0
g261,730,17,87,16,0
g262,729,17,89,16,0
g263,728,17,91,16,0
g264,727,17,73,16,0
g265,726,17,73,16,0
g266,725,17,89,16,0
g267,724,17,87,16,0
g268,723,17,87,16,0
g269,722,17,85,15,0
g27,35,16,16,0,0
g270,721,17,73,16,0
g271,720,17,73,16,0
g272,719,17,73,16,0
g273,718,17,72,16,0
g274,717,17,62,15,0
g275,716,17,38,11,0
g276,715,17,73,16,0
g277,714,17,63,16,0
g278,713,17,77,16,0
g279,712,17,77,16,0
g28,42,16,16,0,0
g280,711,17,77,16,0
g281,710,14,52,16,0
g282,709,12,39,17,0
g283,708,14,50,16,0
g284,707,17,77,16,0
g285,705,5,86,28,0
g286,704,5,90,28,0
g287,703,5,90,28,0
g288,702,5,90,28,0
g289,701,5,85,28,0
g29,46,16,16,0,0
g290,700,5,84,28,0
g291,699,5,87,28,0
g292,698,5,72,27,0
g293,697,5,53,24,0
g294,696,5,90,28,0
g295,695,5,76,28,0
g296,694,5,98,28,0
g297,693,5,86,28,0
g298,692,5,104,28,0
g299,691,5,100,28,0
g3,843,40,4,19,0
g30,45,16,16,0,0
g300,690,5,86,28,0
g301,689,5,100,28,0
g302,688,5,102,28,0
g303,687,5,104,28,0
g304,686,5,102,28,0
g305,685,5,90,28,0
g306,684,5,100,28,0
g307,683,5,100,28,0
g308,682,5,98,27,0
g309,681,5,86,28,0
g31,38,16,16,0,0
g310,680,5,86,28,0
g311,679,5,86,28,0
g312,678,5,58,23,0
g313,677,5,86,28,0
g314,676,5,85,28,0
