gate,net_ID,CC0,CC1,CO,is_trojan
g0,519,3,19703,270,0
g1,130,3,18,27,0
g10,610,44,4,1897,0
g100,489,92,6,185,0
g101,165,3,305,1652,0
g102,225,5,18,46,1
g103,601,3,3,58,0
g104,607,1868,5,73,0
g105,112,3,50,1891,0
g106,768,9,3,#INF,1
g107,386,32756,11,32985,0
g108,731,4,4,#INF,1
g109,590,12,15,30,0
g11,200,3,65533,205,0
g110,108,3,22,1919,0
g111,336,65517,9,221,0
g112,670,6,13,64,1
g113,156,3,3,68,0
g114,86,30,35,0,0
g115,132,3,10,27,0
g116,307,5,108,65633,0
g117,789,10,10,54,1
g118,721,4,4,#INF,1
g119,681,3117,6,64,1
g12,615,1693,22,248,0
g120,783,2,2,72,1
g121,518,13,166,67,0
g122,620,10,499,65242,0
g123,243,7,1022,65763,0
g124,280,2306,9,427,0
g125,312,237,9,65504,0
g126,292,62,4,65679,0
g127,179,3,57,220,0
g128,273,458,6,1504,0
g129,163,3,3,60,0
g13,326,8173,6,57568,0
g130,691,4,9,60,1
g131,320,2029,6,63712,0
g132,413,23,4,254,0
g133,540,5,67,67,0
g134,509,7,10,77,0
g135,747,8,3,75,1
g136,412,51,4,1890,0
g137,714,370,7,2748,1
g138,81,30,35,0,0
g139,517,607,13,1355,0
g14,94,31,36,0,0
g140,666,3081,8,70,1
g141,87,30,35,0,0
g142,204,3,8,27,0
g143,487,8,13,61,0
g144,325,5,8172,57569,0
g145,566,5,14,37,0
g146,442,40,5,190,0
g147,563,5,14,37,0
g148,104,31,36,0,0
g149,249,15,4095,65755,0
g15,550,6,45,36,0
g150,587,12,15,30,0
g151,732,6,6,#INF,1
g152,363,25,6,62,0
g153,704,6,33,3085,1
g154,347,3,3,74,0
g155,565,5,14,37,0
g156,533,34,17,100,0
g157,535,10,59,86,0
g158,521,3,4922,270,0
g159,802,12,377,2741,1
g16,424,62,5,215,0
g160,695,5,3146,58,1
g161,799,14,14,56,1
g162,278,5,2305,431,0
g163,356,19,6,62,0
g164,284,5,9697,431,0
g165,752,8,3,66,1
g166,261,5,1689,265,0
g167,711,178,7,2940,1
g168,426,3,26,1915,0
g169,575,5,14,37,0
g17,472,4,506,65235,0
g170,265,150,4,1812,0
g171,770,10,5,3108,1
g172,149,5,5,72,0
g173,572,5,14,37,0
g174,174,3,22,255,0
g175,375,52,11,65689,0
g176,161,3,3,66,0
g177,218,5,24,46,1
g178,436,101,6,66,0
g179,340,5,262124,210,0
g18,798,14,14,56,1
g180,397,67,4,83,0
g181,511,9847,13,273,0
g182,168,3,2461,267,0
g183,205,3,15,215,0
g184,259,5,457,1500,0
g185,110,3,36,1905,0
g186,552,6,51,36,0
g187,100,31,36,0,0
g188,485,34,16,206,0
g189,549,6,45,36,0
g19,395,20,9,65721,0
g190,194,3,1021,64720,0
g191,653,6,6,3161,1
g192,530,21,167,59,0
g193,441,3,6,71,0
g194,508,12,14,57,0
g195,238,4,765,2353,1
g196,221,5,24,46,1
g197,766,9,3,#INF,1
g198,710,6,177,2941,1
g199,585,12,15,30,0
g2,696,766,5,2352,1
g20,494,5,1236,739,0
g200,127,3,18,27,0
g201,555,6,50,36,0
g202,396,4084,11,61657,0
g203,503,7,2454,279,0
g204,464,7,7,67,0
g205,608,23,18,12,0
g206,480,6,44,63,0
g207,586,12,15,30,0
g208,774,22,5,3096,1
g209,84,30,35,0,0
g21,491,5,165,75,0
g210,706,34,11,3084,1
g211,647,4,4,3171,1
g212,343,5,524268,204,0
g213,275,5,1073,889,0
g214,628,10,131059,200,0
g215,650,3049,8,70,1
g216,148,5,5,56,0
g217,612,72,4,1869,0
g218,671,7,3096,63,1
g219,712,178,11,2940,1
g22,195,3,2045,63696,0
g220,99,31,36,0,0
g221,505,7,298,1664,0
g222,446,3,12,218,0
g223,295,2046,4,63695,0
g224,91,30,35,0,0
g225,497,5,620,1363,0
g226,95,31,36,0,0
g227,490,6,149,81,0
g228,685,4,9,60,1
g229,285,9698,6,10280,0
g23,450,3,40,1901,0
g230,78,30,35,0,0
g231,782,1898,6,1220,1
g232,122,3,18,27,0
g233,231,5,17,46,1
g234,645,4,4,3183,1
g235,260,458,9,1496,0
g236,688,4,9,60,1
g237,736,4,4,#INF,1
g238,805,12,41,3077,1
g239,403,44,4,1897,0
g24,164,3,149,27,0
g240,785,9,9,54,1
g241,567,5,14,37,0
g242,366,19,6,62,0
g243,735,6,6,#INF,1
g244,609,31,26,4,0
g245,404,16,4,261,0
g246,128,3,18,27,0
g247,406,51,4,226,0
g248,682,4,9,60,1
g249,606,11,16,19,0
g25,380,9705,11,420,0
g250,468,4,122,65619,0
g251,352,16,6,62,0
g252,524,3,610,1352,0
g253,432,3,40,237,0
g254,725,6,6,#INF,1
g255,541,6,42,36,0
g256,355,24,6,62,0
g257,754,7,3,#INF,1
g258,246,7,262142,186,0
g259,479,4,524279,193,0
g26,263,13,1691,257,0
g260,223,5,24,46,1
