gate,CC0,CC1,CO,is_trojan
g0,2,2,0,0
g1,2,2,0,0
g2,2,2,0,0
g3,2,2,0,0
g4,2,2,0,0
g5,2,2,0,0
g6,2,2,0,0
g7,4,4,138,0
g8,32,6,38,0
g9,32,6,38,0
g10,32,6,38,0
g11,33,6,38,0
g12,8,63,0,0
g13,7,12,0,0
g14,4,616,3,0
g15,3,192,5,0
g16,580,178,39,0
g17,180,2,17,0
g18,35,3,584,0
g19,178,546,441,0
g20,178,402,19,0
g21,5,32,39,0
g22,5,31,25,0
g23,5,31,39,0
g24,5,31,39,0
g25,24,5,47,0
g26,23,4,33,0
g27,23,4,47,0
g28,23,4,47,0
g29,19,4,51,0
g30,19,4,52,0
g31,19,4,37,0
g32,19,4,51,0
g33,15,5,55,0
g34,15,5,41,0
g35,15,5,56,0
g36,15,5,55,0
g37,7,4,63,0
g38,7,4,64,0
g39,7,4,64,0
g40,7,4,49,0
g41,7,4,63,0
g42,7,4,63,0
g43,7,4,49,0
g44,7,4,49,0
g45,7,4,64,0
g46,7,4,63,0
g47,7,4,63,0
g48,7,4,63,0
g49,3,3,53,0
g50,3,3,67,0
g51,3,3,67,0
g52,3,3,67,0
g53,3,3,53,0
g54,3,3,67,0
g55,3,3,53,0
g56,3,3,68,0
g57,3,3,68,0
g58,3,3,53,0
g59,3,3,67,0
g60,3,3,53,0
g61,3,3,68,0
g62,3,3,53,0
g63,3,3,67,0
g64,3,3,68,0
g65,4,4,67,0
g66,3,3,67,0
g67,3,3,67,0
g68,3,3,53,0
g69,3,3,53,0
g70,3,3,67,0
g71,3,3,67,0
g72,3,3,67,0
g73,3,3,68,0
g74,3,3,67,0
g75,3,3,68,0
g76,3,3,67,0
g77,3,3,67,0
g78,3,3,68,0
g79,3,3,67,0
g80,3,3,67,0
g81,3,3,68,0
g82,3,5,20,0
g83,4,2,18,0
g84,2,2,23,0
g85,2,2,20,0
g86,2,2,242,0
g87,2,2,242,0
g88,2,2,242,0
g89,2,2,242,0
g90,2,2,242,0
g91,2,2,242,0
g92,2,2,242,0
g93,2,2,242,0
g94,2,2,242,0
g95,2,2,242,0
g96,2,2,242,0
g97,2,2,242,0
g98,2,2,242,0
g99,2,2,242,0
g100,2,2,242,0
g101,2,2,242,0
g102,2,2,242,0
g103,2,2,242,0
g104,2,2,242,0
g105,2,2,242,0
g106,2,2,242,0
g107,2,2,242,0
g108,2,2,242,0
g109,2,2,242,0
g110,2,2,242,0
g111,2,2,242,0
g112,2,2,242,0
g113,2,2,242,0
g114,2,2,242,0
g115,2,2,242,0
g116,2,2,242,0
g117,2,2,242,0
g118,2,2,242,0
g119,2,2,242,0
g120,2,2,242,0
g121,2,2,242,0
g122,2,2,242,0
g123,2,2,242,0
g124,2,2,242,0
g125,2,2,242,0
g126,2,2,242,0
g127,2,2,242,0
g128,2,2,242,0
g129,2,2,242,0
g130,2,2,242,0
g131,2,2,242,0
g132,2,2,242,0
g133,2,2,242,0
g134,2,2,242,0
g135,2,2,242,0
g136,2,2,242,0
g137,2,2,242,0
g138,2,2,242,0
g139,2,2,242,0
g140,2,2,242,0
g141,2,2,242,0
g142,2,2,242,0
g143,2,2,242,0
g144,2,2,242,0
g145,2,2,242,0
g146,2,2,242,0
g147,2,2,242,0
g148,2,2,242,0
g149,2,2,242,0
g150,6,94,0,0
g151,2,558,4,0
g152,556,4,6,0
g153,7,61,0,0
g154,545,177,17,0
g155,7,65,0,0
g156,7,67,0,0
g157,363,176,199,0
g158,3,189,4,0
g159,3,200,4,0
g160,3,189,4,0
g161,3,235,0,0
g162,176,176,17,0
g163,187,207,17,0
g164,222,43,13,0
g165,176,181,17,0
g166,2,11,5,0
g167,9,21,7,0
g168,4,20,12,0
g169,4,22,12,0
g170,7,20,0,0
g171,9,16,23,0
g172,3,31,4,0
g173,14,14,20,0
g174,3,15,29,0
g175,5,19,27,0
g176,7,20,0,0
g177,11,128,35,0
g178,8,113,36,0
g179,22,177,597,0
g180,3,32,4,0
g181,5,19,29,0
g182,18,36,17,0
g183,125,21,649,0
g184,108,12,55,0
g185,11,176,37,0
g186,19,55,17,0
g187,51,14,98,0
g188,10,3,22,0
g189,3,32,0,0
g190,18,36,35,0
g191,72,20,702,0
g192,82,11,81,0
g193,163,11,50,0
g194,37,15,112,0
g195,19,71,13,0
g196,18,36,53,0
g197,3,17,29,0
g198,19,62,53,0
g199,6,2,26,0
g200,150,12,63,0
g201,10,224,36,0
g202,49,7,0,0
g203,47,7,0,0
g204,49,7,0,0
g205,47,7,0,0
g206,18,44,71,0
g207,4,17,28,0
g208,61,7,88,0
g209,39,10,124,0
g210,31,16,118,0
g211,47,10,0,0
g212,35,18,49,0
g213,34,8,0,0
g214,45,18,4,0
g215,43,20,4,0
g216,45,19,4,0
g217,118,12,95,0
g218,32,8,0,0
g219,9,106,36,0
g220,167,9,93,0
g221,25,12,138,0
g222,43,17,4,0
g223,29,12,134,0
g224,47,6,102,0
g225,27,16,122,0
g226,49,10,0,0
g227,42,9,5,0
g228,43,10,0,0
g229,34,7,0,0
g230,32,9,0,0
g231,34,8,0,0
g232,39,7,0,0
g233,37,8,0,0
g234,37,7,0,0
g235,43,7,0,0
g236,26,52,89,0
g237,8,13,26,0
g238,17,17,67,0
g239,24,19,10,0
g240,30,19,4,0
g241,37,8,10,0
g242,35,17,14,0
g243,33,19,14,0
g244,35,18,14,0
g245,38,9,5,0
g246,22,18,10,0
g247,60,11,153,0
g248,44,9,5,0
g249,57,11,156,0
g250,90,8,52,0
g251,35,20,4,0
g252,139,8,121,0
g253,33,19,4,0
g254,13,11,150,0
g255,11,11,152,0
g256,42,11,121,0
g257,52,27,722,0
g258,26,52,115,0
g259,13,11,150,0
g260,39,19,4,0
g261,36,7,113,0
g262,13,17,136,0
g263,13,15,136,0
g264,33,16,14,0
g265,27,8,5,0
g266,29,7,5,0
g267,15,13,148,0
g268,4,13,30,0
g269,3,12,31,0
g270,32,7,5,0
g271,4,29,43,0
g272,51,26,723,0
g273,19,10,144,0
g274,26,51,89,0
g275,35,18,37,0
g276,18,8,0,0
g277,24,8,25,0
g278,18,8,0,0
g279,27,18,20,0
g280,18,8,0,0
g281,18,8,0,0
g282,23,8,20,0
g283,5,2802,38,0
g284,5,109,38,0
g285,31,11,182,0
g286,29,10,184,0
g287,30,10,183,0
g288,29,10,184,0
g289,27,11,186,0
g290,18,8,0,0
g291,46,7,96,0
g292,43,9,99,0
g293,111,12,149,0
g294,35,11,128,0
g295,28,18,9,0
g296,18,8,0,0
g297,29,18,14,0
g298,18,8,0,0
g299,18,8,0,0
g300,23,16,26,0
g301,22,18,25,0
g302,26,18,23,0
g303,22,7,10,0
g304,25,17,9,0
g305,24,7,125,0
g306,23,19,24,0
g307,9,21,25,0
g308,9,21,40,0
g309,9,21,38,0
g310,26,26,141,0
g311,9,21,40,0
g312,9,21,23,0
g313,9,21,25,0
g314,9,21,28,0
g315,9,21,30,0
g316,6,10,157,0
g317,6,10,157,0
g318,5,10,158,0
g319,5,10,158,0
g320,6,10,157,0
g321,7,12,156,0
g322,7,12,156,0
g323,6,10,157,0
g324,6,10,157,0
g325,5,14,144,0
g326,6,16,143,0
g327,6,16,143,0
g328,7,16,142,0
g329,5,14,144,0
g330,9,21,34,0
g331,9,21,38,0
g332,13,13,136,0
g333,13,13,136,0
g334,9,9,154,0
g335,9,9,154,0
g336,9,9,154,0
g337,25,25,168,0
g338,25,25,115,0
g339,17,17,36,0
g340,25,25,115,0
g341,25,25,142,0
g342,17,17,67,0
g343,17,17,54,0
g344,15,15,57,0
g345,12,7,0,0
g346,3,11,160,0
g347,3,11,160,0
g348,3,11,160,0
g349,3,17,146,0
g350,3,15,146,0
g351,3,15,146,0
g352,3,15,146,0
g353,3,15,146,0
g354,3,11,160,0
g355,3,17,146,0
g356,3,11,160,0
g357,3,11,160,0
g358,3,11,160,0
g359,3,11,160,0
g360,19,18,30,0
g361,21,19,13,0
g362,2787,4,53,0
g363,66,20,81,0
g364,12,10,201,0
g365,12,10,201,0
g366,17,10,196,0
g367,13,10,200,0
g368,15,9,198,0
g369,13,10,200,0
g370,16,9,197,0
g371,13,10,200,0
g372,15,9,198,0
g373,13,10,200,0
g374,13,10,200,0
g375,13,10,200,0
g376,34,6,108,0
g377,36,9,106,0
g378,23,18,14,0
g379,56,10,204,0
g380,25,19,14,0
g381,54,11,206,0
g382,56,11,204,0
g383,13,11,150,0
g384,19,18,18,0
g385,15,7,34,0
g386,12,7,0,0
g387,18,17,29,0
g388,17,15,32,0
g389,20,18,14,0
g390,16,17,31,0
g391,20,17,29,0
g392,18,18,14,0
g393,12,7,31,0
g394,14,17,29,0
g395,12,7,0,0
g396,12,7,0,0
g397,12,7,0,0
g398,12,7,0,0
g399,12,7,0,0
g400,3,11,160,0
g401,4,20,39,0
g402,19,17,24,0
g403,17,18,30,0
g404,4,29,45,0
g405,4,37,45,0
g406,4,37,43,0
g407,4,37,45,0
g408,4,37,39,0
g409,4,29,39,0
g410,4,29,43,0
g411,4,20,43,0
g412,4,20,45,0
g413,4,20,30,0
g414,4,20,43,0
g415,4,20,28,0
g416,4,20,45,0
g417,4,23,30,0
g418,4,23,28,0
g419,4,25,30,0
g420,4,20,28,0
g421,4,23,28,0
g422,4,20,30,0
g423,4,23,30,0
g424,4,20,33,0
g425,4,23,33,0
g426,4,20,35,0
g427,4,25,33,0
g428,4,23,35,0
g429,12,7,0,0
g430,4,20,43,0
g431,9,7,9,0
g432,9,7,9,0
g433,9,7,9,0
g434,9,7,38,0
g435,9,7,9,0
g436,2,9,161,0
g437,2,13,147,0
g438,2,13,147,0
g439,9,7,23,0
g440,9,7,25,0
g441,2,15,147,0
g442,9,7,9,0
g443,2,9,161,0
g444,2,9,161,0
g445,2,9,161,0
g446,2,9,161,0
g447,2,9,161,0
g448,2,9,161,0
g449,21,10,142,0
g450,2,9,161,0
g451,2,9,161,0
g452,2,13,147,0
g453,2,15,147,0
g454,9,7,9,0
g455,2,13,147,0
g456,9,7,9,0
g457,9,7,9,0
g458,12,12,149,0
g459,14,16,33,0
g460,3,6,9,0
g461,3,6,9,0
g462,3,6,9,0
g463,3,6,9,0
g464,3,6,9,0
g465,3,6,9,0
g466,3,6,9,0
g467,3,6,15,0
g468,3,6,15,0
g469,3,6,15,0
g470,3,6,15,0
g471,3,6,15,0
g472,3,6,15,0
g473,3,6,15,0
g474,3,6,15,0
g475,7,3,27,0
g476,28,9,114,0
g477,27,9,233,0
g478,28,10,232,0
g479,27,10,233,0
g480,27,7,233,0
g481,26,10,234,0
g482,27,10,233,0
g483,26,10,234,0
g484,29,10,231,0
g485,3,6,31,0
g486,3,6,29,0
g487,3,6,31,0
g488,3,6,29,0
g489,3,6,31,0
g490,3,6,34,0
g491,3,6,34,0
g492,3,6,36,0
g493,3,6,40,0
g494,3,6,40,0
g495,3,6,46,0
g496,3,6,44,0
g497,3,6,46,0
g498,3,6,44,0
g499,3,6,46,0
g500,3,6,44,0
g501,3,6,9,0
g502,14,17,20,0
g503,13,18,36,0
g504,12,16,35,0
g505,14,16,35,0
g506,12,17,20,0
g507,1795,197,1045,0
g508,12,17,20,0
g509,38,19,109,0
g510,14,18,20,0
g511,20,5,122,0
g512,14,18,23,0
g513,15,18,24,0
g514,13,16,30,0
g515,12,17,35,0
g516,10,21,39,0
g517,10,21,33,0
g518,10,21,24,0
g519,5,9,208,0
g520,6,9,207,0
g521,5,9,208,0
g522,6,9,207,0
g523,7,9,206,0
g524,7,9,206,0
g525,5,9,208,0
g526,6,9,207,0
g527,6,9,207,0
g528,6,9,207,0
g529,7,9,206,0
g530,6,9,207,0
g531,6,9,207,0
g532,6,9,207,0
g533,5,9,208,0
g534,7,9,206,0
g535,6,9,207,0
g536,6,9,207,0
g537,6,9,207,0
g538,6,9,207,0
g539,7,12,156,0
g540,5,10,158,0
g541,10,21,27,0
g542,4,62,4,0
g543,9,9,63,0
g544,15,15,59,0
g545,23,23,59,0
g546,23,23,59,0
g547,11,11,42,0
g548,23,23,57,0
g549,23,23,53,0
g550,14,14,149,0
g551,8,8,163,0
g552,8,8,163,0
g553,8,8,163,0
g554,8,8,163,0
g555,8,8,163,0
g556,8,8,163,0
g557,8,8,163,0
g558,8,8,163,0
g559,14,14,149,0
g560,12,12,149,0
g561,12,12,149,0
g562,12,12,149,0
g563,8,8,163,0
g564,6,6,0,0
g565,6,6,0,0
g566,6,6,0,0
g567,6,6,0,0
g568,6,6,0,0
g569,6,6,0,0
g570,6,6,0,0
g571,6,6,0,0
g572,6,6,0,0
g573,8,8,205,0
g574,8,8,205,0
g575,8,8,205,0
g576,9,9,154,0
g577,6,6,0,0
g578,6,6,0,0
g579,6,6,0,0
g580,6,6,0,0
g581,6,6,0,0
g582,6,6,0,0
g583,6,6,0,0
