gate,CC0,CC1,CO,is_trojan
CONST_0,1,1,1,0
CONST_1,1,1,6,0
n0,1,1,20,0
n1,1,1,15,0
n2,1,1,63,0
n3,1,1,60,0
n4,1,1,93,0
n5,1,1,96,0
n6[31],1,1,79,0
n6[30],1,1,79,0
n6[29],1,1,79,0
n6[28],1,1,79,0
n6[27],1,1,79,0
n6[26],1,1,79,0
n6[25],1,1,79,0
n6[24],1,1,79,0
n6[23],1,1,79,0
n6[22],1,1,79,0
n6[21],1,1,79,0
n6[20],1,1,79,0
n6[19],1,1,79,0
n6[18],1,1,79,0
n6[17],1,1,79,0
n6[16],1,1,79,0
n6[15],1,1,79,0
n6[14],1,1,79,0
n6[13],1,1,79,0
n6[12],1,1,79,0
n6[11],1,1,79,0
n6[10],1,1,79,0
n6[9],1,1,79,0
n6[8],1,1,79,0
n6[7],1,1,79,0
n6[6],1,1,78,0
n6[5],1,1,49,0
n6[4],1,1,48,0
n6[3],1,1,48,0
n6[2],1,1,48,0
n6[1],1,1,48,0
n6[0],1,1,48,0
n7[31],1,1,85,0
n7[30],1,1,85,0
n7[29],1,1,85,0
n7[28],1,1,85,0
n7[27],1,1,85,0
n7[26],1,1,85,0
n7[25],1,1,85,0
n7[24],1,1,85,0
n7[23],1,1,85,0
n7[22],1,1,85,0
n7[21],1,1,85,0
n7[20],1,1,85,0
n7[19],1,1,85,0
n7[18],1,1,85,0
n7[17],1,1,85,0
n7[16],1,1,85,0
n7[15],1,1,85,0
n7[14],1,1,85,0
n7[13],1,1,85,0
n7[12],1,1,85,0
n7[11],1,1,85,0
n7[10],1,1,85,0
n7[9],1,1,85,0
n7[8],1,1,85,0
n7[7],1,1,85,0
n7[6],1,1,85,0
n7[5],1,1,85,0
n7[4],1,1,85,0
n7[3],1,1,85,0
n7[2],1,1,85,0
n7[1],1,1,85,0
n7[0],1,1,85,0
n8[31],1,1,165,0
n8[30],1,1,165,0
n8[29],1,1,165,0
n8[28],1,1,165,0
n8[27],1,1,165,0
n8[26],1,1,165,0
n8[25],1,1,165,0
n8[24],1,1,165,0
n8[23],1,1,165,0
n8[22],1,1,165,0
n8[21],1,1,165,0
n8[20],1,1,165,0
n8[19],1,1,165,0
n8[18],1,1,165,0
n8[17],1,1,165,0
n8[16],1,1,165,0
n8[15],1,1,165,0
n8[14],1,1,165,0
n8[13],1,1,165,0
n8[12],1,1,165,0
n8[11],1,1,165,0
n8[10],1,1,165,0
n8[9],1,1,165,0
n8[8],1,1,165,0
n8[7],1,1,165,0
n8[6],1,1,165,0
n8[5],1,1,165,0
n8[4],1,1,165,0
n8[3],1,1,165,0
n8[2],1,1,165,0
n8[1],1,1,165,0
n8[0],1,1,165,0
g0,2,2,0,0
g1,2,2,0,0
g2,2,2,0,0
g3,2,2,0,0
g4,2,2,0,0
g5,2,2,0,0
g6,2,2,0,0
g7,2,2,0,0
g8,2,2,0,0
g9,2,2,0,0
g10,2,2,0,0
g11,2,2,0,0
g12,2,2,14,0
g13,2,2,95,0
g14,8,8,714,0
g15,8,8,169,0
g16,10,9,233,0
g17,8,8,379,0
g18,8,8,654,0
g19,10,9,509,0
g20,10,9,528,0
g21,10,9,548,0
g22,8,8,673,0
g23,8,8,569,0
g24,8,8,592,0
g25,8,8,693,0
g26,8,8,612,0
g27,10,9,633,0
g28,8,8,253,0
g29,10,9,402,0
g30,10,9,107,0
g31,10,9,652,0
g32,8,8,673,0
g33,8,8,693,0
g34,10,9,423,0
g35,8,8,735,0
g36,10,9,713,0
g37,8,8,734,0
g38,10,9,733,0
g39,8,8,734,0
g40,10,9,190,0
g41,8,8,273,0
g42,10,9,445,0
g43,10,9,106,0
g44,8,8,128,0
g45,10,9,463,0
g46,8,8,549,0
g47,10,9,293,0
g48,10,9,168,0
g49,8,8,191,0
g50,8,8,484,0
g51,10,9,214,0
g52,10,9,126,0
g53,8,8,149,0
g54,10,9,508,0
g55,10,9,232,0
g56,8,8,253,0
g57,10,9,529,0
g58,8,8,273,0
g59,8,8,295,0
g60,10,9,213,0
g61,8,8,314,0
g62,10,9,147,0
g63,8,8,314,0
g64,8,8,337,0
g65,10,9,356,0
g66,10,9,335,0
g67,8,8,569,0
g68,10,9,378,0
g69,10,9,590,0
g70,10,9,401,0
g71,10,9,424,0
g72,8,8,358,0
g73,10,9,611,0
g74,10,9,444,0
g75,8,8,465,0
g76,8,8,634,0
g77,8,8,484,0
g78,5,9,152,0
g79,5,9,514,0
g80,5,9,533,0
g81,5,9,112,0
g82,5,9,131,0
g83,3,7,659,0
g84,5,9,238,0
g85,5,9,553,0
g86,5,9,738,0
g87,3,7,384,0
g88,3,7,574,0
g89,3,7,678,0
g90,3,7,597,0
g91,3,7,617,0
g92,3,7,698,0
g93,3,7,740,0
g94,5,9,638,0
g95,3,7,174,0
g96,5,9,657,0
g97,5,9,407,0
g98,3,7,719,0
g99,3,7,678,0
g100,3,7,698,0
g101,3,7,258,0
g102,5,9,718,0
g103,5,9,428,0
g104,3,7,739,0
g105,3,7,739,0
g106,5,9,111,0
g107,5,9,450,0
g108,3,7,133,0
g109,3,7,278,0
g110,3,7,639,0
g111,5,9,468,0
g112,5,9,173,0
g113,3,7,196,0
g114,5,9,195,0
g115,3,7,489,0
g116,5,9,219,0
g117,5,9,298,0
g118,5,9,237,0
g119,5,9,513,0
g120,3,7,258,0
g121,3,7,278,0
g122,5,9,534,0
g123,3,7,300,0
g124,3,7,319,0
g125,3,7,319,0
g126,3,7,154,0
g127,3,7,554,0
